activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,timestamp,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_143,unknown_87,accumulated_power,unknown_140,unknown_90,distancia_km
running,0,0.0,2786.8,0.0,0.0,83,,,0.0,,,,,2026-02-28 00:18:26,,,0,,137,83,41,0.0,,,,0.0
running,0,0.0,2786.8,0.0,0.0,83,,,0.0,,,,,2026-02-28 00:18:27,,,0,,137,83,41,0.0,,,,0.0
running,0,0.0,2786.8,0.0,0.0,83,,,0.0,,,,,2026-02-28 00:18:28,,,0,,137,83,41,0.0,,,,0.0
running,0,0.0,2786.8,0.0,0.0,83,,,0.0,,,,,2026-02-28 00:18:29,,,0,,137,83,41,0.0,,,,0.0
running,83,0.0,2786.8,0.0,0.5,83,,,0.0,,,,,2026-02-28 00:18:30,,,0,,137,83,41,,,,,0.0
running,83,2.04,2786.8,2.043,0.5,82,,,229.0,291.0,,,738.0,2026-02-28 00:18:31,76.1,10.31,0,,108,82,41,0.0,229.0,,,0.00204
running,83,4.41,2786.8,2.37,0.5,81,,,266.0,281.0,,,846.0,2026-02-28 00:18:32,80.3,9.49,0,,88,81,41,,495.0,,,0.00441
running,85,7.6,2786.8,3.191,0.0,81,,,357.0,258.0,,,1126.0,2026-02-28 00:18:33,91.3,8.11,0,,88,81,41,,852.0,,,0.0076
running,84,10.66,2786.8,3.051,0.5,82,,,350.0,262.0,,,1076.0,2026-02-28 00:18:34,89.2,8.29,0,,74,82,41,,1202.0,,,0.01066
running,84,13.75,2786.8,3.098,0.5,83,,,361.0,263.0,,,1106.0,2026-02-28 00:18:35,91.8,8.29,0,,67,83,41,,1563.0,,,0.01375
running,84,16.8,2786.8,3.051,0.0,84,,,358.0,265.0,,,1089.0,2026-02-28 00:18:36,90.8,8.33,0,,61,84,41,,1921.0,,,0.016800000000000002
running,83,19.2,2786.8,2.398,0.5,85,,,261.0,280.0,,,856.0,2026-02-28 00:18:37,80.9,9.45,0,,59,85,41,12400.0,2182.0,,,0.0192
running,83,21.66,2786.8,2.454,0.5,85,,,268.0,282.0,,,886.0,2026-02-28 00:18:38,83.1,9.37,0,,59,85,41,0.0,2450.0,,,0.02166
running,83,24.18,2786.8,2.519,0.5,85,,,275.0,280.0,,,910.0,2026-02-28 00:18:39,84.3,9.26,0,,59,85,41,,2725.0,,,0.02418
running,82,26.7,2786.8,2.519,0.5,86,,,275.0,280.0,,,910.0,2026-02-28 00:18:40,84.3,9.26,0,,58,86,41,,3000.0,,,0.026699999999999998
running,82,29.14,2786.8,2.445,0.5,86,,,269.0,282.0,,,883.0,2026-02-28 00:18:41,83.0,9.39,0,,58,86,41,,3269.0,,,0.02914
